film,protag
Big (film),JOSH
Tristan & Isolde (film),ISOLDE
Plan 9 from Outer Space,LT. HARPER
Strange Days (film),LENNY
Go (1999 film),RONNA
Smashed (film),KATE
Beetlejuice,BARBARA
Fletch (film),FLETCH
Carrie (1976 film),CARRIE
Wall Street (1987 film),BUD
RKO 281,WELLES
This Is Spinal Tap,David
Count Dracula (1970 film),HELSING
Almost Famous,WILLIAM
Tin Men,TILLEY
Shrek the Third,SHREK
The Seventh Seal,KNIGHT
The Rage: Carrie 2,RACHEL
Confidence (2003 film),JAKE
Mirrors (film),BEN
Friday the 13th (1980 film),ALICE
Philadelphia (film),ANDREW
Death to Smoochy,SHELDON
Heavenly Creatures,PAULINE
John Q,J.Q.
Watchmen (film),DAN
Pearl Harbor (film),RAFE
Revolutionary Road (film),FRANK
Unforgiven,MUNNY
EDtv,ED
Boys on the Side,JANE
Halloween: The Curse of Michael Myers,KARA
Lara Croft: Tomb Raider,LARA
Catwoman (film),PATIENCE
Nixon (film),NIXON
Valkyrie (film),STAUFFENBERG
Slumdog Millionaire,JAMAL
25th Hour,MONTY
Mary Shelleys Frankenstein (film),VICTOR
Coriolanus (film),CORIOLANUS
Brazil (1985 film),SAM
My Girl (film),VADA
Chill Factor (film),MASON
Alien 3,RIPLEY
Trainspotting (film),RENTON
Gods and Monsters,WHALE
An American Werewolf in Paris,ANDY
Thirteen Days (film),KENNY
Amadeus (film),MOZART
Invaders from Mars (1986 film),JIMMY
The Wild Bunch,PIKE
Coraline (film),CORALINE
Ride the High Country,JUDD
My Own Private Idaho,MIKE
48 Hrs.,CATES
Willard (2003 film),WILLARD
Mimic (film),SUSAN
Star Wars Episode I: The Phantom Menace,ANAKIN
To Sleep with Anger,HARRY
Shakespeare in Love,WILL
Pride & Prejudice (2005 film),ELIZABETH
The Life of David Gale,BITSEY
Lost Souls (film),PETER
The Man Who Wasnt There (2001 film),ED
The Crow: City of Angels,ASHE
The Anniversary Party,SALLY
Pirates of the Caribbean: Dead Mans Chest,JACK SPARROW
Zulu Dawn,CHELMSFORD
Raiders of the Lost Ark,INDY
The English Patient (film),ALMÁSY
Signs (film),GRAHAM
Adaptation (film),KAUFMAN
ParaNorman,NORMAN
The Battle of Algiers,MATHIEU
Get Carter,CARTER
Insidious (film),JOSH
Dumb and Dumber,LLOYD
A Walk to Remember,LANDON
Cirque du Freak: The Vampires Assistant,DARREN
Reindeer Games,RUDY
Semi-Pro,JACKIE MOON
St. Elmos Fire (film),LESLIE
Happiness (1998 film),JOY
Public Enemies (2009 film),DILLINGER
The Time Machine (2002 film),ALEXANDER
Mr. Smith Goes to Washington,JEFFERSON
Taking Sides (film),STEVE
Rebecca (1940 film),I
My Best Friends Wedding,JULIANNE
Little Miss Sunshine,RICHARD
Stagecoach (1939 film),CURLY
The Devils Advocate (1997 film),KEVIN
Body of Evidence (1993 film),DULANEY
Highlander (film),MACLEOD
Ninja Assassin,MIKA
Rear Window,JEFF
Friday the 13th Part VI: Jason Lives,MEGAN
Nick of Time (film),GENE
The Company of Wolves,ROSALEEN
X-Men (film),LOGAN
Bones (2001 film),PATRICK
Terminator 2: Judgment Day,JOHN
Ill Do Anything,MATT
Spanglish (film),JOHN
The Book of Eli,ELI
Whiteout (2009 film),CARRIE
Drag Me to Hell,STEPHANIE
Tin Cup,TIN CUP
The Empire Strikes Back,HAN
THX 1138,THX
Taking Lives (film),GRACE
Gladiator (2000 film),MAXIMUS
Oceans Twelve,DANNY
Mean Streets,CHARLIE
Being John Malkovich,CRAIG
Halloween 4: The Return of Michael Myers,RACHEL
Serenity (film),MAL
Shine (film),PARKES
Back to the Future,MARTY
I Am Sam,SAM
Gandhi (film),GANDHI
The Leopard Man,JERRY
The Transformers: The Movie,HOT ROD
The Long Kiss Goodnight,CHARLY
The Last Temptation of Christ (film),JESUS
Saw (film),LAWRENCE
Army of Darkness,ASH
El Mariachi,DOMINO
Legion (2010 film),BOB
No Country for Old Men (film),MOSS
Cars 2,MATER
Thunderheart,RAY
Casino (film),ACE
Alien (film),STANDARD
Arcade (film),ALEX
Bridesmaids (2011 film),ANNIE
Birthday Girl,JOHN
Up in the Air (2009 film),RYAN
The Informant!,WHITACRE
Natural Born Killers,MICKEY
A Nightmare on Elm Street 3: Dream Warriors,NANCY
Killing Zoe,ERIC
Gamer (film),WHITE KABLE SCRIPT - 9/19/2007
Donnie Darko,DONNIE
The Adventures of Buckaroo Banzai Across the 8th Dimension,BUCKAROO BANZAI
Westworld,Scientist
Fatal Instinct,NED
The Master (2012 film),FREDDIE
Red Planet (film),GALLAGHER
Cube (film),QUENTIN
Peggy Sue Got Married,PEGGY
Youve Got Mail,KATHLEEN
The Fisher King,JACK
Man Trouble,JOAN
The Back-up Plan,ZOE
Jaws (film),BRODY
Hall Pass,RICK
The Insider (film),LOWELL
Twins (1988 film),VINCE
Raging Bull,JAKE
Moonstruck,LORETTA
Jurassic Park (film),GRANT
The Blind Side (film),LEIGH ANNE
Machine Gun Preacher,SAM
Isle of the Dead (film),GENERAL
Broadcast News (film),JANE
A.I. Artificial Intelligence,DAVID
Diner (film),BOOGIE
Sugar & Spice,DIANE
Fargo (film),MARGE
Clue (film),WADSWORTH
Honeydripper (film),TY
Cold Mountain (film),ADA
Sphere (film),NORMAN
Superman (1978 film),LOIS
While She Was Out,CHUCKIE
Stigmata (film),KIERNAN
Game 6,NICKY
Back to the Future Part III,Marty
Pretty Woman,VIVIAN
Little Nicky,NICKY
Sherlock Holmes (2009 film),HOLMES
Return of the Jedi,HAN
The African Queen (film),ALLNUT
Demolition Man (film),SPARTAN
Youth in Revolt (film),NICK
Jennifers Body,NEEDY
Kundun,TENZIN GYATSO
Schindlers List,SCHINDLER
The Taking of Pelham One Two Three (1974 film),BLUE
U Turn (1997 film),BOBBY
Judge Dredd (film),DREDD
Crash (1996 film),JAMES
Angel Eyes (film),SHARON
When Harry Met Sally...,Harry
Kill Bill Volume 2,THE BRIDE
Broken Arrow (1996 film),HALE
The Faculty,CASEY
Date Night,PHIL
How to Train Your Dragon (film),HICCUP
500 Days of Summer,TOM
Jurassic Park III,GRANT
Autumn in New York (film),WILLS
The Dark Knight (film),DENT
Serial Mom,MOM
The Haunting (1999 film),NELL
The Wild One,JOHNNY
The Shawshank Redemption,RED
"Lock, Stock and Two Smoking Barrels",EDDY
American Pie (film),KEVIN
Angels & Demons (film),LANGDON
Austin Powers: The Spy Who Shagged Me,AUSTIN
Jaws 3-D,MIKE
Sounder (film),DAVID LEE
State and Main,JOE
Lost in Space (film),WEST
Phantasm (film),MIKE
Six Degrees of Separation (film),OUISA
Commando (film),MATRIX
Scream (1996 film),SIDNEY
The Morgue,Randy
Scream 2,SIDNEY
Collateral Damage (film),GORDY
Henry Fool,HENRY
Scary Movie 2,CINDY
Silver Bullet (film),MARTY
Godzilla (1998 film),NICK
Final Destination (film),ALEX
"The Adventures of Priscilla, Queen of the Desert",BERNADETTE
Dracula (1979 film),LUCY
Fear and Loathing in Las Vegas (film),DUKE
Hero (1992 film),BERNIE
The Stone Tape,BROCK
The Departed,COLIN
The Woodsman,WALTER
The Thing (1982 film),MACREADY
Hotel Rwanda,PAUL
Dark City (1998 film),BUMSTEAD
Amelia (film),AMELIA
Affliction (film),WADE
Conan the Barbarian (2011 film),CONAN
Its a Wonderful Life,GEORGE
Beginners,OLIVER
Tremors (film),VAL
Indiana Jones and the Temple of Doom,INDIANA
All the Kings Men (1949 film),WILLIE
Star Trek V: The Final Frontier,KIRK
The Piano,STEWART
Star Trek (film),KIRK
Two for the Money (film),BRANDON
Terminator Salvation,MARCUS
Batman Begins,WAYNE
The Crying Game,FERGUS
Gremlins 2: The New Batch,BILLY
Tropic Thunder,SPEEDMAN
The Man Who Knew Too Much (1956 film),BEN
Stalag 17,SEFTON
Storytelling (film),TOBY
The Messenger: The Story of Joan of Arc,JEANNE
Pineapple Express (film),DALE
War Horse (film),ALBERT
X-Men Origins: Wolverine,LOGAN
Big Trouble in Little China,JACK BURTON
The Usual Suspects,VERBAL
Escape from the Planet of the Apes,LEWIS
Capote (film),TRUMAN
Good Will Hunting,WILL
Unbreakable (film),DAVID
Sideways,MILES
Yes Man (film),CARL
Starship Troopers (film),JOHNNY
The Bourne Identity (2002 film),BOURNE
Blade: Trinity,KING
Machete (film),ELEKTRA
Rambling Rose (film),DADDY
Raising Arizona,HI
Hellraiser III: Hell on Earth,JOEY
Midnight Cowboy,JOE
The Believer (film),DANNY
Man on the Moon (film),ANDY
Cobb (film),COBB
The Blair Witch Project,Heather
Liar Liar,FLETCHER
City of Joy (film),MAX
Total Recall (1990 film),QUAID
The Big Lebowski,DUDE
Hostage (film),TALLEY
Gangs of New York,AMSTERDAM
The Day the Earth Stood Still,KLAATU
Bruce Almighty,BRUCE
The Prophecy,DAGGETT
Citizen Kane,KANE
Nightbreed,LORI
The Ploughmans Lunch,JAMES
Toy Story,WOODY
Kramer vs. Kramer,TED
Shivers (film),ST. LUC
One Flew Over the Cuckoos Nest (film),MCMURPHY
Shes Out of My League,KIRK
Bull Durham,ANNIE
Arthur (2011 film),ARTHUR
The French Connection (film),DOYLE
Burn After Reading,LINDA
Mr. Brooks,MR. BROOKS
Blade Runner,DECKARD
Alien Nation (film),SYKES
Come See the Paradise,LILY
Melvin and Howard,MELVIN
Wind Chill (film),GIRL
The Apartment,BUD
Dogma (film),BETHANY
Croupier (film),JACK
Whos Your Daddy (film),TED
Bad Day at Black Rock,MACREEDY
The Ides of March (film),STEPHEN
Barry Lyndon,RODERICK
The Matrix,NEO
"I, Robot (film)",SPOONER
Father of the Bride (1991 film),GEORGE
The Age of Innocence (1993 film),ARCHER
The Beach (film),RICHARD
Kung Fu Panda,PO
Warrior (2011 film),BRENDAN
Intolerable Cruelty,MILES
Lost in Translation (film),BOB
The Things My Father Never Taught Me,MELVIN
Code of Silence (film),EDDIE
The Nightmare Before Christmas,JACK
The Patriot (2000 film),MARION
Pi (film),MAX
The Three Musketeers (1993 film),D'ARTAGNAN
